color,director_name,num_critic_for_reviews,duration,director_facebook_likes,actor_3_facebook_likes,actor_2_name,actor_1_facebook_likes,gross,genres,actor_1_name,movie_title,num_voted_users,cast_total_facebook_likes,actor_3_name,facenumber_in_poster,plot_keywords,movie_imdb_link,num_user_for_reviews,language,country,content_rating,budget,title_year,actor_2_facebook_likes,imdb_score,aspect_ratio,movie_facebook_likes
Color,Francis Ford Coppola,208,175,0,3000,Marlon Brando,14000,134821952,Crime|Drama,Al Pacino,The Godfather ,1155770,28122,Robert Duvall,1,crime family|mafia|organized crime|patriarch|rise to power,http://www.imdb.com/title/tt0068646/?ref_=fn_tt_tt_1,2238,English,USA,R,6000000,1972,10000,9.2,1.85,43000
Color,Francis Ford Coppola,149,220,0,3000,Al Pacino,22000,57300000,Crime|Drama,Robert De Niro,The Godfather: Part II ,790926,39960,Robert Duvall,1,1950s|corrupt politician|lake tahoe nevada|melancholy|revenge,http://www.imdb.com/title/tt0071562/?ref_=fn_tt_tt_1,650,English,USA,R,13000000,1974,14000,9,1.85,14000
Color,George Lucas,282,125,0,504,Peter Cushing,11000,460935665,Action|Adventure|Fantasy|Sci-Fi,Harrison Ford,Star Wars: Episode IV - A New Hope ,911097,13485,Kenny Baker,1,death star|empire|galactic war|princess|rebellion,http://www.imdb.com/title/tt0076759/?ref_=fn_tt_tt_1,1470,English,USA,PG,11000000,1977,1000,8.7,2.35,33000
Color,Milos Forman,149,133,869,425,Michael Berryman,888,112000000,Drama,Scatman Crothers,One Flew Over the Cuckoo's Nest ,680041,2176,Louise Fletcher,0,1960s|escape|mental institution|nurse|sexuality,http://www.imdb.com/title/tt0073486/?ref_=fn_tt_tt_1,760,English,USA,R,4400000,1975,721,8.7,1.85,32000
Color,Francis Ford Coppola,261,289,0,3000,Marlon Brando,11000,78800000,Drama|War,Harrison Ford,Apocalypse Now ,450676,25313,Robert Duvall,1,army|green beret|insanity|jungle|vietnam,http://www.imdb.com/title/tt0078788/?ref_=fn_tt_tt_1,983,English,USA,R,31500000,1979,10000,8.5,2.35,19000
Color,Ridley Scott,392,116,0,513,Yaphet Kotto,1000,78900000,Horror|Sci-Fi,Tom Skerritt,Alien ,563827,2524,Bolaji Badejo,0,alien|creature|future|outer space|spaceship,http://www.imdb.com/title/tt0078748/?ref_=fn_tt_tt_1,1110,English,UK,R,11000000,1979,581,8.5,2.35,23000
Color,George Roy Hill,119,129,131,417,Robert Shaw,1000,159600000,Comedy|Crime|Drama,Eileen Brennan,The Sting ,175607,2387,Ray Walston,0,con|con man|courier|long con|murder,http://www.imdb.com/title/tt0070735/?ref_=fn_tt_tt_1,252,English,USA,PG,5500000,1973,559,8.3,1.85,0
Color,Martin Scorsese,211,110,17000,595,Albert Brooks,22000,,Crime|Drama,Robert De Niro,Taxi Driver ,507063,23525,Peter Boyle,1,loner|neo noir|night shift|taxi driver|vigilante,http://www.imdb.com/title/tt0075314/?ref_=fn_tt_tt_1,881,English,USA,R,1300000,1976,745,8.3,1.85,35000
Color,Terry Gilliam,131,91,0,332,Michael Palin,795,1229197,Adventure|Comedy|Fantasy,Eric Idle,Monty Python and the Holy Grail ,382240,2158,Terry Jones,0,camelot|holy grail|king arthur|knight|lancelot,http://www.imdb.com/title/tt0071853/?ref_=fn_tt_tt_1,660,English,UK,PG,229575,1975,561,8.3,1.66,14000
Color,Michael Cimino,140,183,517,652,Meryl Streep,22000,,Drama|War,Robert De Niro,The Deer Hunter ,232577,34025,John Savage,2,escape|friend|party|pittsburgh steelers|vietnam,http://www.imdb.com/title/tt0077416/?ref_=fn_tt_tt_1,1026,English,UK,R,15000000,1978,11000,8.2,2.35,11000
Color,Ingmar Bergman,76,91,0,92,Ingrid Thulin,440,,Drama,Liv Ullmann,Cries & Whispers ,19964,809,Erland Josephson,0,dying|love|mansion|selfishness|turn of the century,http://www.imdb.com/title/tt0069467/?ref_=fn_tt_tt_1,197,Swedish,Sweden,R,400000,1972,132,8.2,1.66,0
Color,Martin Scorsese,71,117,17000,476,Levon Helm,725,321952,Documentary|Music,Ringo Starr,The Last Waltz ,12611,2783,Bob Dylan,0,band|final concert|guitar|interview|thanksgiving,http://www.imdb.com/title/tt0077838/?ref_=fn_tt_tt_1,113,English,USA,PG,,1978,572,8.2,1.85,0
 Black and White,Andrei Tarkovsky,144,115,0,12,Anatoliy Solonitsyn,29,,Drama|Mystery|Sci-Fi,Donatas Banionis,Solaris ,54057,95,Natalya Bondarchuk,0,hallucination|ocean|psychologist|scientist|space station,http://www.imdb.com/title/tt0069293/?ref_=fn_tt_tt_1,236,Russian,Soviet Union,PG,1000000,1972,29,8.1,2.35,0
Color,Stanley Kubrick,124,184,0,111,Steven Berkoff,385,,Adventure|Drama|History|War,Ryan O'Neal,Barry Lyndon ,101627,1104,Hardy Krüger,0,18th century|england|rise and fall|rural setting|wealth,http://www.imdb.com/title/tt0072684/?ref_=fn_tt_tt_1,369,English,UK,PG,11000000,1975,293,8.1,1.66,0
Color,Woody Allen,154,93,11000,629,Carol Kane,11000,39200000,Comedy|Romance,Woody Allen,Annie Hall ,192940,12691,Shelley Duvall,0,breaking the fourth wall|comedian|jewish|neurosis|singer,http://www.imdb.com/title/tt0075686/?ref_=fn_tt_tt_1,491,English,USA,PG,4000000,1977,636,8.1,1.37,0
Color,Sidney Lumet,161,121,0,682,Faye Dunaway,3000,,Drama|Romance,Robert Duvall,Network ,103493,5987,William Holden,0,media|monologue|television|television network|television news,http://www.imdb.com/title/tt0074958/?ref_=fn_tt_tt_1,317,English,USA,R,3800000,1976,977,8.1,1.85,17000
Color,John G. Avildsen,141,145,80,794,Burgess Meredith,13000,117235247,Drama|Sport,Sylvester Stallone,Rocky ,375240,16094,Carl Weathers,0,boxer|hometown hero|philadelphia pennsylvania|protective male|training,http://www.imdb.com/title/tt0075148/?ref_=fn_tt_tt_1,542,English,USA,PG,960000,1976,1000,8.1,1.33,0
Color,Bernardo Bertolucci,120,106,973,48,Stefania Sandrelli,319,,Drama,Jean-Louis Trintignant,The Conformist ,17813,500,Dominique Sanda,1,fascist|gun|italy|nudity|sexuality,http://www.imdb.com/title/tt0065571/?ref_=fn_tt_tt_1,101,Italian,Italy,R,750000,1970,90,8.1,1.66,0
Color,Michael Wadleigh,53,215,14,136,Jimi Hendrix,262,13300000,Documentary|History|Music,Joe Cocker,Woodstock ,12631,778,Joan Baez,0,drugs|hippie|music festival|the who|woodstock,http://www.imdb.com/title/tt0066580/?ref_=fn_tt_tt_1,63,English,USA,R,600000,1970,227,8.1,2.2,0
Color,William Friedkin,304,132,607,259,Linda Blair,1000,204565000,Horror,Ellen Burstyn,The Exorcist ,284252,2466,Lee J. Cobb,0,demonic possession|exorcism|exorcist|loss of innocence|priest,http://www.imdb.com/title/tt0070047/?ref_=fn_tt_tt_1,1058,English,USA,R,8000000,1973,931,8,1.37,18000
Color,Steven Spielberg,385,130,14000,366,Robert Shaw,813,260000000,Adventure|Drama|Thriller,Roy Scheider,Jaws ,412454,2047,Murray Hamilton,0,beach|blockbuster|fishing|great white shark|shark,http://www.imdb.com/title/tt0073195/?ref_=fn_tt_tt_1,962,English,USA,PG,8000000,1975,559,8,2.35,21000
Color,Franklin J. Schaffner,112,172,76,78,Karl Malden,654,,Biography|Drama|War,George C. Scott,Patton ,76398,1306,Bill Hickman,0,allies|dead soldier|destiny|general|tank,http://www.imdb.com/title/tt0066206/?ref_=fn_tt_tt_1,258,English,USA,GP,12000000,1970,416,8,2.2,0
Color,Norman Jewison,66,181,278,51,Paul Michael Glaser,402,50000000,Drama|Family|Musical|Romance,Topol,Fiddler on the Roof ,29839,934,Rosalind Harris,0,immigration|jewish|pogrom|tradition|tradition versus modernity,http://www.imdb.com/title/tt0067093/?ref_=fn_tt_tt_1,150,English,USA,G,9000000,1971,343,8,2.35,0
Color,Terrence Malick,112,94,0,180,Stuart Margolin,820,,Drama|Romance,Sam Shepard,Days of Heaven ,37594,1618,Richard Libertini,0,farm|farm worker|grasshopper|harvest|wealth,http://www.imdb.com/title/tt0077405/?ref_=fn_tt_tt_1,181,English,USA,PG,3000000,1978,350,8,1.85,0
 Black and White,Mel Brooks,129,106,0,481,Peter Boyle,1000,86300000,Comedy,Madeline Kahn,Young Frankenstein ,112671,2703,Teri Garr,0,assistant|castle|experiment|frankenstein's monster|scientist,http://www.imdb.com/title/tt0072431/?ref_=fn_tt_tt_1,315,English,USA,PG,2800000,1974,595,8,1.85,14000
Color,John Carpenter,318,101,0,598,Donald Pleasence,2000,47000000,Horror|Thriller,Jamie Lee Curtis,Halloween ,157857,4400,P.J. Soles,0,halloween|masked killer|michael myers|slasher|trick or treat,http://www.imdb.com/title/tt0077651/?ref_=fn_tt_tt_1,1191,English,USA,R,300000,1978,742,7.9,2.35,12000
Color,John Carpenter,318,101,0,598,Donald Pleasence,2000,47000000,Horror|Thriller,Jamie Lee Curtis,Halloween ,157857,4400,P.J. Soles,0,halloween|masked killer|michael myers|slasher|trick or treat,http://www.imdb.com/title/tt0077651/?ref_=fn_tt_tt_1,1191,English,USA,R,300000,1978,742,7.9,2.35,12000
Color,Francis Ford Coppola,149,113,0,324,Teri Garr,11000,,Drama|Mystery|Thriller,Harrison Ford,The Conversation ,74651,12157,Cindy Williams,2,corruption|neo noir|recording|saxophone|surveillance,http://www.imdb.com/title/tt0071360/?ref_=fn_tt_tt_1,313,English,USA,PG,1600000,1974,481,7.9,1.37,6000
Color,John Carpenter,318,101,0,598,Donald Pleasence,2000,47000000,Horror|Thriller,Jamie Lee Curtis,Halloween ,157863,4400,P.J. Soles,0,halloween|masked killer|michael myers|slasher|trick or treat,http://www.imdb.com/title/tt0077651/?ref_=fn_tt_tt_1,1191,English,USA,R,300000,1978,742,7.9,2.35,12000
Color,Bob Fosse,84,123,189,87,Ben Vereen,813,,Comedy|Drama|Music|Musical,Roy Scheider,All That Jazz ,19228,1476,Max Wright,0,dancer|editing|stand up comedian|surgery|vomiting,http://www.imdb.com/title/tt0078754/?ref_=fn_tt_tt_1,146,English,USA,R,,1979,388,7.8,1.85,0
Color,William Friedkin,138,104,607,109,Fernando Rey,813,,Action|Crime|Drama|Thriller,Roy Scheider,The French Connection ,82476,1196,Tony Lo Bianco,0,crime boss|drug smuggling|heroin|mafia boss|organized crime,http://www.imdb.com/title/tt0067116/?ref_=fn_tt_tt_1,280,English,USA,R,1800000,1971,165,7.8,1.85,0
Color,Mel Stuart,104,89,21,124,Jack Albertson,240,,Family|Fantasy|Musical,Peter Ostrum,Willy Wonka & the Chocolate Factory ,128334,1011,Julie Dawn Cole,1,candy|chocolate|factory|miniaturization|sudden change in size,http://www.imdb.com/title/tt0067992/?ref_=fn_tt_tt_1,349,English,USA,G,3000000,1971,177,7.8,1.33,0
Color,Mel Brooks,121,93,0,628,David Huddleston,1000,119500000,Comedy|Western,Madeline Kahn,Blazing Saddles ,95294,4701,Harvey Korman,0,railroad|reference to douglas fairbanks|reference to jesse owens|reference to randolph scott|year 1874,http://www.imdb.com/title/tt0071230/?ref_=fn_tt_tt_1,363,English,USA,R,2600000,1974,1000,7.8,2.35,12000
Color,William Friedkin,138,104,607,109,Fernando Rey,813,,Action|Crime|Drama|Thriller,Roy Scheider,The French Connection ,82476,1196,Tony Lo Bianco,0,crime boss|drug smuggling|heroin|mafia boss|organized crime,http://www.imdb.com/title/tt0067116/?ref_=fn_tt_tt_1,280,English,USA,R,1800000,1971,165,7.8,1.85,0
Color,William Friedkin,84,92,607,35,Joe Spinell,813,,Adventure|Drama|Thriller,Roy Scheider,Sorcerer ,9513,1011,Amidou,0,fire|jungle|money|oil drilling|truck,http://www.imdb.com/title/tt0076740/?ref_=fn_tt_tt_1,116,English,USA,PG,12000000,1977,85,7.7,1.85,0
Color,Steven Spielberg,171,135,14000,252,Teri Garr,559,128300000,Drama|Sci-Fi,Bob Balaban,Close Encounters of the Third Kind ,139288,1591,Melinda Dillon,0,alien|close encounter of the third kind|mothership|ufo|vision,http://www.imdb.com/title/tt0075860/?ref_=fn_tt_tt_1,339,English,USA,PG,19400870,1977,481,7.7,2.35,0
Color,James Frawley,63,95,21,842,Jim Henson,1000,76657000,Adventure|Comedy|Family|Musical,Madeline Kahn,The Muppet Movie ,25498,5673,Dom DeLuise,0,friend|frog leg|on the road|restaurant|the muppets,http://www.imdb.com/title/tt0079588/?ref_=fn_tt_tt_1,92,English,UK,G,,1979,985,7.7,1.85,0
Color,Richard Donner,154,107,503,108,Patrick Troughton,264,,Fantasy|Horror|Mystery,Lee Remick,The Omen ,80958,673,Billie Whitelaw,2,ambassador|death|hospital|priest|stillborn child,http://www.imdb.com/title/tt0075005/?ref_=fn_tt_tt_1,310,English,UK,R,2800000,1976,139,7.6,2.35,7000
Color,Don Siegel,53,112,152,459,Patrick McGoohan,16000,36500000,Biography|Crime|Drama,Clint Eastwood,Escape from Alcatraz ,87090,17568,Fred Ward,0,alcatraz|escape|inmate|island|prison,http://www.imdb.com/title/tt0079116/?ref_=fn_tt_tt_1,142,English,USA,PG,8000000,1979,466,7.6,1.85,0
Color,Clint Eastwood,72,105,16000,258,Richard Bull,16000,,Mystery|Western,Clint Eastwood,High Plains Drifter ,36381,17599,John Hillerman,0,gravestone|gunfighter|outlaw|revenge|small town,http://www.imdb.com/title/tt0068699/?ref_=fn_tt_tt_1,169,English,USA,R,5500000,1973,742,7.6,2.35,0
Color,Peter H. Hunt,34,168,0,69,Ken Howard,713,,Drama|Family|History|Musical,Blythe Danner,1776 ,6303,1541,Howard Caine,0,continental congress|debate|declaration of independence|massachusetts|pennsylvania,http://www.imdb.com/title/tt0068156/?ref_=fn_tt_tt_1,129,English,USA,PG,4000000,1972,649,7.6,2.35,0
Color,John Landis,94,109,644,559,Karen Allen,1000,141600000,Comedy,John Belushi,Animal House ,90177,3468,Tim Matheson,6,academic probation|camera shot of feet|fraternity|school expulsion|smashing a guitar,http://www.imdb.com/title/tt0077975/?ref_=fn_tt_tt_1,257,English,USA,R,3000000,1978,783,7.6,1.85,0
Color,Richard Donner,154,107,503,108,Patrick Troughton,264,,Fantasy|Horror|Mystery,Lee Remick,The Omen ,80961,673,Billie Whitelaw,2,ambassador|death|hospital|priest|stillborn child,http://www.imdb.com/title/tt0075005/?ref_=fn_tt_tt_1,310,English,UK,R,2800000,1976,139,7.6,2.35,7000
Color,Richard Fleischer,79,160,130,288,Richard Anderson,469,14500000,Action|Drama|History|War,Joseph Cotten,Tora! Tora! Tora! ,25019,1548,James Whitmore,0,attack|hawaii|navy|pearl harbor|u.s. navy,http://www.imdb.com/title/tt0066473/?ref_=fn_tt_tt_1,159,English,Japan,G,25000000,1970,377,7.5,2.35,0
Color,Tobe Hooper,277,88,365,177,Edwin Neal,383,30859000,Horror|Thriller,Gunnar Hansen,The Texas Chain Saw Massacre ,96410,1094,Marilyn Burns,0,cannibal|chainsaw|hitchhiker|independent film|leatherface,http://www.imdb.com/title/tt0072271/?ref_=fn_tt_tt_1,826,English,USA,R,83532,1974,371,7.5,1.85,0
